"Committee","CommitteeName","AddDate","AreaRegion","ParentName","ComemID","ContactID","ContactName","CompanyName","ContactAddrID","ContactAddress1","ContactAddress2","ContactCity","ContactState","ContactZip","ContactCountry","ContactPhone","MeetingID","Room","Closed","WheelChr","Day","Time","Language1","Language2","Language3","LocationId","Place","Address","City","LocBorough","State","Zip","Country","Directions","Institutional","Format1","Format2","Format3","Format4","Format5","Delete","LastChanged","Longitude","Latitude","ContactGP","bmlt_id","unpublished"
"G00097171","Falmouth","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","OPEN","FALSE","Sunday","0730","","","","","1st Congregational Church","68 Main Street","Falmouth","","MA","02540","US","(Side entr-downstairs)","FALSE","DISC","JFT","","","","","12/22/18","-70.61898","41.554391","","96",""
"G00097179","Ten O'Clock","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","OPEN","FALSE","Sunday","1000","","","","","Community Building","2377 Meetinghouse Way","West Barnstable","","MA","02668","US","","FALSE","DISC","","","","","","12/22/18","-70.383984","41.697224","","444",""
"G00103431","Fight Is Over","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","OPEN","FALSE","Sunday","1730","","","","","John Wesley United Methodist Church","270 Gifford Street","Falmouth","","MA","02540","US","","FALSE","DISC","IP","","","","","12/22/18","-70.6114087","41.5595976","","103",""
"G00266954","No matter what group","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","OPEN","FALSE","Sunday","1830","","","","","1st Federated Church","320 Main Street","Hyannis","","MA","02601","US","Fellowship Hall back of church","FALSE","DISC","SPK","LIT","","","","2/23/19","-70.281969","41.65444","","310",""
"G00291962","O-Zone Troopers","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","OPEN","TRUE","Sunday","1930","","","","","United Methodist Church","37 Sandwich Road","Bourne","","MA","02532","US","","FALSE","DISC","IP","SPK","TOP","","","2/23/19","-70.596728","41.742829","","328",""
"G00097171","The Falmouth Group","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","OPEN","FALSE","Monday","0730","","","","","1st Congregational Church","68 Main Street","Falmouth","","MA","02540","US","(Side Entrance Downstairs)","FALSE","DISC","JFT","","","","","12/22/18","-70.61898","41.554391","","100",""
"G00248916","A New Day A New Beginning","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","OPEN","FALSE","Monday","0730","","","","","St David's Episcopal Church","205 Main Street","South Yarmouth","","MA","02664","US","","FALSE","JFT","","","","","","12/22/18","-70.183278","41.677349","","9",""
"G00091078","Monday Night","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","CLOSED","FALSE","Monday","1700","","","","","St Mary's on the Harbor","519 Commercial Street","Provincetown","","MA","02657","US","","FALSE","STEP","","","","","","12/22/18","-70.175996","42.057753","","254",""
"G00097188","Last Stop on the Bus","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","OPEN","FALSE","Monday","1930","","","","","St. David's Episcopal Church","205 Old Main Street","South Yarmouth","","MA","02664","US","","FALSE","DISC","JFT","","","","","12/22/18","-70.199162","41.672256","","208",""
"G00152016","Bourne Today","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","CLOSED","FALSE","Monday","1930","","","","","Methodist Church","1093 County Road","Cataumet","","MA","02536","US","","FALSE","STEP","","","","","","4/28/19","-70.606124","41.676177","","38",""
"G00152017","Show Up For Life","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","OPEN","FALSE","Monday","1930","","","","","Falmouth Church of the Nazarene","292 Brick Kiln Road","East Falmouth","","MA","02536","US","","FALSE","SPK","TOP","","","","","12/22/18","-70.596843","41.581588","","396",""
"G00248916","A New Day A New Beginning","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","OPEN","FALSE","Tuesday","0730","","","","","St David's Episcopal Church","205 Main Street","South Yarmouth","","MA","02664","US","","FALSE","JFT","","","","","","12/22/18","-70.183278","41.677349","","10",""
"G00097171","Falmouth","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","OPEN","FALSE","Tuesday","0730","","","","","1st Congregational Church","68 Main Street","Falmouth","","MA","02540","US","side entrance-downstairs","FALSE","DISC","JFT","","","","","12/22/18","-70.61898","41.554391","","97",""
"G00346337","Write On","","AR48104","Cape Cod Area","","","","","","","","","","","","","","","CLOSED","FALSE","Tuesday","1900","","","","","Marstons Mills Community Church","2135 Main Street","Marstons Mills","","MA","02648","US","","FALSE","JFT","M","VAR","","","","12/22/18","-70.4135337","41.6540118","","535",""
